epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,47.1811,2.4339,2.27434,1.17624,0,0,0,0,2.70006,3.5959,1.51258,0.00040605,0.00040605,0.00040605
43,48.1187,2.18656,2.44093,1.19614,0.0023,0.04417,0.00564,0.00073,2.70732,3.5888,1.51866,0.000409022,0.000409022,0.000409022
44,49.0143,2.52584,2.2887,1.08083,0.0023,0.04417,0.00564,0.00073,2.70732,3.5888,1.51866,0.000411664,0.000411664,0.000411664
45,49.9779,2.27541,2.21945,1.10557,0.00366,0.07049,0.00388,0.00062,2.69306,3.59039,1.50157,0.000413976,0.000413976,0.000413976
46,50.9264,2.42815,2.22223,1.12982,0.00366,0.07049,0.00388,0.00062,2.69306,3.59039,1.50157,0.000415958,0.000415958,0.000415958
47,51.9658,2.26346,2.32862,1.14922,0.00586,0.11466,0.04402,0.00802,2.7151,3.58071,1.51698,0.00041761,0.00041761,0.00041761
48,52.986,2.37537,2.12352,1.11435,0.00586,0.11466,0.04402,0.00802,2.7151,3.58071,1.51698,0.000418932,0.000418932,0.000418932
49,54.0138,2.38543,2.17043,1.13484,0.00649,0.12406,0.05359,0.00979,2.82562,3.57877,1.56561,0.000419924,0.000419924,0.000419924
50,55.0232,2.25259,2.11449,1.19561,0.00649,0.12406,0.05359,0.00979,2.82562,3.57877,1.56561,0.000420586,0.000420586,0.000420586
51,56.0847,2.23638,2.01262,1.10079,0.00617,0.1156,0.03721,0.0102,2.90427,3.58209,1.60153,0.000420918,0.000420918,0.000420918
52,57.1108,2.41597,2.35023,1.15175,0.00617,0.1156,0.03721,0.0102,2.90427,3.58209,1.60153,0.000420919,0.000420919,0.000420919
53,58.111,2.24311,2.20563,1.25892,0.00617,0.1156,0.03721,0.0102,2.90427,3.58209,1.60153,0.000420591,0.000420591,0.000420591
54,59.1056,2.41207,2.15876,1.15716,0.00755,0.14192,0.06847,0.01429,2.92467,3.5653,1.63313,0.000419932,0.000419932,0.000419932
55,60.1118,2.29274,2.02224,1.13406,0.00755,0.14192,0.06847,0.01429,2.92467,3.5653,1.63313,0.000418944,0.000418944,0.000418944
56,61.088,2.1536,1.83628,1.11909,0.00755,0.14192,0.06847,0.01429,2.92467,3.5653,1.63313,0.000417625,0.000417625,0.000417625
57,62.0772,2.28709,2.06379,1.13871,0.00862,0.15977,0.07607,0.01172,2.93874,3.49653,1.64826,0.000415977,0.000415977,0.000415977
58,62.9932,2.2359,1.86938,1.1346,0.00862,0.15977,0.07607,0.01172,2.93874,3.49653,1.64826,0.000413998,0.000413998,0.000413998
59,63.9103,2.31072,2.06699,1.08505,0.00862,0.15977,0.07607,0.01172,2.93874,3.49653,1.64826,0.000411689,0.000411689,0.000411689
60,64.8912,2.19615,1.9735,1.08617,0.0122,0.23872,0.08389,0.01393,2.91784,3.39929,1.63432,0.00040905,0.00040905,0.00040905
61,65.9,2.4359,2.03097,1.11613,0.0122,0.23872,0.08389,0.01393,2.91784,3.39929,1.63432,0.000406081,0.000406081,0.000406081
